emis,centre_no,name,quintile,wrote_2014,passed_2014,perc_2014,progressed_2015,wrote_2015,passed_2015,perc_2015,progressed_2016,wrote_2016,passed_2016,perc_2016
200100769,4221070,TAMSANQA SECONDARY SCHOOL,3,40,9,22.5,26,67,17,25.4,56,44,7,15.9
200100918,4222072,THE HILL COLLEGE,99,34,32,94.1,0,42,40,95.2,3,34,34,100
200100895,4222073,THEODOR HERZL HIGH SCHOOL,99,31,31,100,0,31,31,100,0,24,24,100
200100786,4221020,THUBELIHLE SENIOR SECONDARY SCHOOL,3,87,13,14.9,3,43,14,32.6,58,63,2,3.2
200100799,4221074,TYHILULWAZI SENIOR SECONDARY SCHOL,3,59,20,33.9,5,107,32,29.9,24,96,21,21.9
200100823,4221075,VICTORIA PARK HIGH SCHOOL,5,217,215,99.1,1,197,196,99.5,2,190,190,100
200100830,4221076,VULUMZI SENIOR SECONDARY SCHOOL,3,47,27,57.4,13,124,54,43.5,22,98,47,48
200100878,4221077,WALMER HIGH SCHOOL,3,170,46,27.1,71,155,55,35.5,122,237,51,21.5
200100846,4221078,WESTERING HIGH SCHOOL,5,161,161,100,2,186,186,100,0,170,170,100
200100851,4221079,WESTVILLE SECONDARY SCHOOL,5,123,111,90.2,16,175,138,78.9,23,117,104,88.9
200100869,4221080,WOOLHOPE SECONDARY SCHOOL,4,160,133,83.1,5,148,128,86.5,3,148,104,70.3
200600004,4071001,ABAMBO HIGH SCHOOL,2,104,39,37.5,1,119,51,42.9,0,85,44,51.8
200600076,4071002,BULELANI SENIOR SECONDARY SCHOOL,3,159,114,71.7,17,131,92,70.2,26,174,115,66.1
200600163,4071003,EKUPHUMLENI HIGH SCHOOL,3,69,57,82.6,3,86,77,89.5,2,113,100,88.5
200600206,4071004,FUNDA HIGH SCHOOL,3,119,72,60.5,0,107,58,54.2,3,95,55,57.9
200600245,4072043,GET AHEAD,99,78,68,87.2,2,70,63,90,0,62,51,82.3
200600253,4071005,HEWU,3,38,14,36.8,3,33,13,39.4,0,32,18,56.3
200600693,4071006,HEXAGON HIGH SCHOOL,5,92,80,87,9,83,81,97.6,5,87,83,95.4
200600267,4071007,HOeRSKOOL HANGKLIP,5,61,59,96.7,0,55,55,100,0,44,44,100
200600307,4071008,JOE SLOVO FREEDOM HIGH SCHOOL,3,114,64,56.1,14,103,38,36.9,30,96,49,51
200601022,4071009,JOHN NOAH HIGH SCHOOL,3,52,33,63.5,0,84,33,39.3,0,91,24,26.4
200600981,4071010,KHANYA HIGH SCHOOL,3,24,11,45.8,2,30,13,43.3,1,43,22,51.2
200601065,4071011,KWA-KOMANI COMP,3,159,103,64.8,46,241,124,51.5,41,119,88,73.9
200600886,4071012,LAVELILANGA SENIOR SECONDARY SCHOOL,3,27,6,22.2,0,18,13,72.2,3,18,14,77.8
200600375,4071013,LINGELIHLE SENIOR SECONDARY SCHOOL,3,135,100,74.1,51,170,86,50.6,42,116,66,56.9
200600400,4071014,LUVUYO LERUMO SCHOOL,3,186,64,34.4,2,149,50,33.6,0,137,59,43.1
200601105,4071015,MANZEZULU SENIOR SECONDARY SCHOOL,3,49,18,36.7,8,56,27,48.2,2,38,21,55.3
200600441,4071016,MARIA LOUW HIGH SCHOOL,5,191,122,63.9,73,165,111,67.3,25,92,79,85.9
200600503,4071018,MOLTENO HIGH SCHOOL,4,29,18,62.1,7,22,14,63.6,2,17,11,64.7
200600539,4071019,MZAMOMHLE HIGH SCHOOL,2,14,3,21.4,0,12,6,50,0,9,4,44.4
200600542,4071020,N. MOTMAN PUBLIC SCHOOL,3,59,21,35.6,0,49,32,65.3,0,83,47,56.6
200600556,4071021,NDLOVUKAZI HIGH SCHOOL,3,57,32,56.1,9,83,63,75.9,12,94,81,86.2
200600576,4071022,NGUBENGCUKA SENIOR SECONDARY SCHOOL,3,43,9,20.9,11,47,14,29.8,8,18,8,44.4
200600963,4071023,NKWANCA HIGH SCHOOL,3,150,99,66,10,164,119,72.6,1,173,119,68.8
200600986,4071024,NOMPUMELELO HIGH SCHOOL,3,116,49,42.2,22,120,46,38.3,5,69,49,71
200600643,4071026,NTUNJA SENIOR SECONDARY SCHOOL,3,25,11,44,0,24,13,54.2,0,28,11,39.3
200600799,4072027,OLIVET PRIVATE SCHOOL,99,12,12,100,0,15,12,80,0,15,10,66.7
200600667,4071028,PHAKAMANI SENIOR SECONDARY SCHOOL,2,8,6,75,2,19,18,94.7,0,23,16,69.6
200600691,4071029,QUEENâS COLLEGE BOYSâ HIGH SCHOOL,5,109,108,99.1,0,105,104,99,0,112,109,97.3
200600694,4071030,QUEENSTOWN GIRLS HIGH SCHOOL,5,103,103,100,0,101,101,100,0,100,100,100
200600071,4072031,ROYAL ACADEMY,99,48,41,85.4,0,51,41,80.4,2,38,28,73.7
0,4071050,SADA SCHOOL OF EXCELLENCE,1,,,0,,,,,0,11,4,36.4
200600738,4071032,SIBONILE SENIOR SECONDARY SCHOOL,3,22,9,40.9,1,17,11,64.7,0,16,5,31.3
200600739,4071033,SIBUYELE COMBINED SCHOOL,2,40,14,35,4,27,14,51.9,5,34,23,67.6
200600746,4071034,SIJONGEPHAMBILI,3,37,11,29.7,1,44,5,11.4,0,29,8,27.6
200600760,4071035,SIYAPHAKAMA SENIOR SECONDARY SCHOOL,3,62,11,17.7,7,46,8,17.4,9,22,17,77.3
200601117,4071036,SOVUKA SIKHANYE HIGH SCHOOL,2,18,5,27.8,0,23,6,26.1,0,25,10,40
200600779,4071037,SOYISILE SENIOR SECONDARY SCHOOL,2,50,23,46,1,49,28,57.1,0,31,16,51.6
200600885,4071038,VELALANGA SENIOR SECONDARY SCHOOL,3,21,6,28.6,0,18,7,38.9,0,15,7,46.7
200600898,4071039,VUSELELA COMBINED SCHOOL,2,41,20,48.8,1,43,14,32.6,0,31,8,25.8
